Country,Region,Income_Level,Year,TB_Cases,TB_Deaths,TB_Incidence_Rate,TB_Mortality_Rate,TB_Treatment_Success_Rate,Drug_Resistant_TB_Cases,HIV_CoInfected_TB_Cases,Population,GDP_Per_Capita,Health_Expenditure_Per_Capita,Urban_Population_Percentage,Malnutrition_Prevalence,Smoking_Prevalence,TB_Doctors_Per_100K,TB_Hospitals_Per_Million,Access_To_Health_Services,BCG_Vaccination_Coverage,HIV_Testing_Coverage
Russia,North America,High,2012,23158,8265,120.29,13.99,91.09,3350,994,17742680,18074,3866,75.53,16.68,9.52,4.66,4.88,78.52,72.22,74.34
Indonesia,Europe,High,2021,37581,9481,271.48,2.8,69.66,3499,1308,594691956,48812,9070,38.89,47.05,37.51,7.68,7.0,95.72,91.37,50.07
USA,Asia,Lower-Middle,2022,35486,4200,350.92,40.95,63.64,1948,7558,693590748,6008,2331,81.39,28.49,16.29,5.07,12.69,42.51,62.62,64.14
China,Africa,Lower-Middle,2023,14286,9546,389.27,7.28,62.18,146,7197,389187386,33279,7513,26.88,12.81,29.74,4.68,14.54,66.49,63.75,23.34
South Africa,North America,Upper-Middle,2000,29783,6997,31.04,19.03,51.07,3242,3965,1378344510,45462,5872,32.48,17.27,38.41,2.39,2.07,78.77,53.8,64.61
China,Europe,Lower-Middle,2011,556,6520,219.71,24.38,73.41,2230,5723,328483729,31388,8778,70.44,8.73,22.8,8.54,1.35,46.11,76.39,26.8
USA,South America,Low,2003,45801,7229,69.88,22.19,94.47,1163,3697,398112530,46386,9644,32.23,6.25,22.76,1.0,16.08,82.61,67.93,69.98
South Africa,North America,Low,2010,33411,3762,221.29,36.56,86.69,4184,3055,246285200,26525,9046,31.06,28.67,9.1,9.82,14.39,90.77,66.65,60.17
Russia,Europe,High,2004,40486,5508,222.65,30.24,90.39,988,9061,640513733,8560,6732,58.88,20.17,18.66,4.81,16.72,87.02,72.42,41.03
Nigeria,Asia,Low,2001,9059,5365,254.12,15.47,77.95,578,6726,782715275,33716,9093,78.45,48.37,34.84,1.94,13.69,48.12,91.63,45.96
Pakistan,Asia,Upper-Middle,2016,26558,5431,447.49,3.53,71.67,2920,2095,854498626,8161,8147,38.79,12.71,9.73,3.61,15.14,86.3,55.15,26.31
USA,North America,Lower-Middle,2007,23245,9547,404.5,38.61,94.57,2420,6543,1338393646,35764,605,78.88,40.73,37.11,0.25,7.89,58.93,75.66,42.6
Bangladesh,North America,Lower-Middle,2005,1115,3224,321.99,18.27,70.12,3416,2737,432497376,6385,8117,76.56,19.22,28.36,1.75,12.01,48.65,59.63,87.68
USA,Africa,Lower-Middle,2020,8562,6437,443.85,44.6,91.26,143,386,800672308,926,5391,60.54,15.06,19.73,3.42,16.21,41.76,60.41,54.03
USA,Europe,Low,2008,28714,9023,342.45,20.36,84.28,2071,7002,995769500,40367,5093,65.26,48.63,24.13,5.59,3.86,93.63,62.58,53.2
South Africa,North America,Lower-Middle,2012,44788,6817,411.24,36.17,64.89,4388,5710,244055812,25991,7450,22.83,41.12,10.27,1.38,8.75,59.88,72.51,64.05
India,Africa,High,2010,39245,616,286.25,47.04,72.64,2863,4700,259795213,20053,6079,45.7,33.38,12.61,6.79,14.94,90.6,74.23,53.91
Indonesia,Africa,High,2015,44687,4672,267.36,32.91,67.29,3740,2804,1160046627,13418,6868,38.44,36.37,15.02,8.46,10.89,41.17,92.7,44.89
India,North America,High,2015,43048,4182,364.81,21.26,56.13,3502,1075,1097676853,13013,2144,30.5,49.61,18.47,5.77,13.79,83.69,93.71,29.77
Russia,Asia,Low,2001,11181,8880,19.65,28.8,66.05,136,3692,1128175131,17330,3528,47.28,31.69,37.04,3.04,6.21,37.7,78.75,64.12
Bangladesh,Europe,Lower-Middle,2009,7484,7045,348.29,27.63,90.0,1805,7647,255895455,59754,2980,44.84,9.59,17.86,1.3,1.13,31.23,63.79,72.42
Nigeria,Europe,Low,2011,28079,4217,467.91,29.66,83.87,1859,1061,402794577,45195,8495,71.02,7.92,23.33,0.25,1.07,99.65,90.1,84.62
Brazil,Asia,Lower-Middle,2007,25774,2720,359.83,8.19,62.49,4323,8830,251869629,30671,3570,61.87,35.0,10.67,7.34,18.88,35.15,88.85,20.21
Russia,North America,Upper-Middle,2010,38239,9414,28.03,35.23,66.56,3986,8090,851831180,2750,108,83.92,34.59,30.76,6.32,18.92,62.31,89.1,24.67
Brazil,Europe,Upper-Middle,2009,27899,9962,195.16,8.11,77.74,4850,2383,422965555,56763,3752,30.18,38.67,24.61,4.82,4.62,91.49,50.8,82.96
Brazil,North America,Low,2012,31981,8346,406.69,1.72,68.73,2737,6772,119336920,14108,9963,24.18,9.9,20.4,1.11,3.38,87.36,86.94,64.18
Nigeria,North America,High,2024,1444,1732,479.72,31.61,72.64,3736,8068,819808083,3181,2657,57.42,47.52,38.15,2.15,0.85,62.98,91.78,87.05
China,Africa,Low,2016,28957,9104,191.38,6.73,81.42,3570,6478,487597318,18285,5160,20.07,29.8,36.17,8.17,5.01,72.76,79.65,50.16
India,Asia,High,2006,9614,8540,422.19,38.75,71.03,269,3984,1387625482,3907,8506,75.14,34.23,28.08,4.85,7.02,74.08,86.81,49.17
USA,North America,Lower-Middle,2023,40346,820,433.27,43.43,58.59,1251,9385,372553732,40029,1757,55.42,6.57,37.26,9.63,5.2,37.69,88.03,44.1
Pakistan,South America,High,2002,18630,9704,70.41,47.29,73.43,1853,6669,1280226897,49401,2343,54.16,48.24,24.77,10.0,16.05,49.94,74.82,30.0
Brazil,Asia,High,2019,12812,3904,424.44,33.56,66.03,1522,7838,609358471,17927,2534,45.37,30.32,33.94,8.03,15.11,51.07,89.87,46.5
Bangladesh,Europe,Lower-Middle,2012,33096,3168,168.88,24.62,63.08,4204,4851,358711514,22247,2785,46.25,30.35,19.33,2.66,2.08,56.47,88.82,21.03
Russia,Africa,Upper-Middle,2018,39051,2182,300.69,18.26,64.76,4287,9479,862846185,14055,3505,50.18,47.46,8.04,2.39,14.1,49.17,94.89,55.65
China,Europe,Lower-Middle,2006,10251,9951,274.09,25.06,69.76,2226,1961,1216925057,28094,987,21.12,46.82,39.8,2.61,10.65,47.6,95.15,79.3
Brazil,Europe,Low,2008,7407,7275,334.9,10.33,89.9,2290,3931,376280994,891,927,25.85,14.91,10.8,9.87,3.08,54.83,75.96,42.48
China,Asia,Low,2018,28614,1040,372.83,18.07,83.03,965,3434,570755417,5319,8788,55.35,46.9,13.8,3.42,14.92,56.55,51.54,26.62
China,Europe,Low,2012,25509,760,226.03,36.18,80.05,4577,6735,1126468310,23763,2512,30.51,38.15,10.71,7.09,2.18,64.11,50.94,88.16
Brazil,North America,Low,2021,19810,4354,445.27,11.65,71.21,1118,9527,1141198660,6484,4543,74.51,5.85,16.81,9.59,3.95,42.15,96.01,29.03
South Africa,Europe,Low,2007,36225,5417,406.65,13.94,50.08,4784,1181,771344015,50937,6185,39.21,15.79,15.12,8.21,3.41,85.18,66.53,57.01
Indonesia,Africa,Upper-Middle,2021,19496,88,394.86,37.72,65.32,1552,3779,113659561,6863,8031,26.85,23.58,26.04,6.02,18.81,90.25,68.5,76.64
Bangladesh,Africa,Upper-Middle,2017,6547,1325,234.54,9.71,86.59,390,3641,1017229386,5627,2265,36.46,31.23,39.88,1.77,14.11,47.37,73.03,37.66
USA,South America,High,2022,39517,7119,28.41,13.05,67.47,1265,2320,41957919,39857,5776,45.0,36.56,6.84,1.83,8.52,38.63,63.02,78.9
USA,Africa,Low,2001,29267,4907,251.21,1.86,75.37,2308,2353,1352055243,43894,5997,22.47,14.46,32.25,4.97,16.53,80.56,78.93,58.99
Bangladesh,Europe,Lower-Middle,2017,16847,1486,450.24,36.28,59.21,2250,3396,1382483690,58485,8471,29.92,42.65,9.48,9.52,4.71,94.7,88.45,43.24
South Africa,Africa,Low,2017,37027,9711,103.32,31.28,91.21,1668,3077,96637909,58889,1477,42.67,43.06,5.69,9.05,18.66,32.46,62.61,80.6
USA,Asia,Upper-Middle,2010,24602,2149,491.47,35.02,91.54,2994,2349,727964121,13012,6337,41.73,33.57,27.35,1.75,14.09,31.01,86.41,63.54
China,Africa,Low,2000,4763,8615,405.77,11.5,56.57,2658,693,1208006240,48968,1749,76.03,46.45,35.57,2.95,11.41,42.84,82.93,63.08
Nigeria,North America,Upper-Middle,2013,43549,7743,357.82,34.68,82.59,3968,9077,1263166551,4537,2195,79.03,41.58,11.17,5.93,16.0,77.94,75.75,55.28
Russia,Asia,High,2015,2402,4301,341.81,30.22,53.39,3381,1064,1152154372,28123,8248,33.54,14.97,16.96,4.83,13.07,97.53,65.95,39.23
India,South America,High,2010,31323,4075,297.64,18.94,76.93,3439,7221,85450196,7354,7008,28.68,40.94,10.91,1.28,17.8,82.53,92.77,41.34
USA,North America,High,2000,31040,9355,363.13,22.45,58.04,1590,2612,658810477,26233,4322,64.39,47.89,36.73,3.76,16.67,70.11,69.74,26.17
Bangladesh,Europe,Upper-Middle,2006,35835,6262,216.73,28.83,56.56,4870,4024,1336031526,20133,9471,76.32,11.19,14.46,9.55,4.36,79.04,68.36,37.06
Nigeria,Europe,Low,2015,10690,3284,424.19,25.17,50.19,2942,7311,1154589380,28703,1873,87.46,49.04,20.56,9.52,5.17,46.15,81.43,39.45
Brazil,Europe,Low,2013,41343,9507,351.21,32.45,92.34,1596,358,1063682887,34811,4034,20.48,6.12,36.32,5.64,1.77,78.2,95.1,24.11
Indonesia,North America,Lower-Middle,2014,28190,7712,387.91,9.87,87.32,2122,1032,1377230200,17675,8872,48.96,28.5,24.35,6.39,4.79,52.5,74.89,27.72
Bangladesh,North America,Upper-Middle,2013,3494,7600,398.32,27.49,53.49,3647,8651,730499652,47118,8511,71.38,39.83,37.65,2.3,7.2,45.57,85.41,38.92
China,North America,Lower-Middle,2020,38497,3173,55.11,23.06,76.97,4571,513,990674204,25512,3821,78.0,40.57,37.43,7.45,1.06,46.56,72.39,67.41
Indonesia,Asia,High,2010,2510,703,37.26,23.59,60.48,4993,8287,1172871425,22054,550,24.36,38.06,21.16,0.62,6.64,76.75,60.72,32.9
Russia,Asia,Low,2015,7877,4208,402.48,24.0,61.88,2531,532,1237481444,55695,5656,67.64,28.82,25.38,2.28,15.55,83.71,56.07,56.53
Russia,Europe,Upper-Middle,2018,13536,8750,137.1,44.19,89.34,3761,2518,478689177,28590,7989,40.23,34.29,13.06,0.16,16.89,70.73,56.68,55.55
South Africa,Africa,Lower-Middle,2016,26967,9929,295.17,41.11,55.14,2712,8831,239639004,46136,5657,25.22,36.5,39.67,3.92,0.67,34.47,51.04,78.38
Pakistan,Europe,Lower-Middle,2005,548,5593,227.42,31.85,77.07,28,27,756791940,39366,2800,54.24,27.25,14.74,8.52,0.64,32.66,77.09,62.64
South Africa,South America,Lower-Middle,2010,37478,9630,20.8,36.11,68.06,2579,7433,640074661,33212,1362,31.07,31.81,32.42,9.83,3.35,45.2,56.42,84.19
Nigeria,Asia,Low,2016,48106,2247,29.74,3.1,58.59,793,1278,714111215,40716,2203,71.59,43.09,15.95,6.71,17.52,50.05,92.42,63.97
Indonesia,North America,Low,2008,16538,3961,415.29,37.46,70.34,1716,1186,1296488385,40479,4786,71.89,19.08,15.96,7.47,9.65,58.34,98.16,21.79
Pakistan,Asia,Low,2017,33076,5285,307.76,24.82,92.32,424,1642,675484548,54434,658,78.94,28.54,8.64,2.7,19.67,35.32,74.3,46.7
Brazil,North America,Upper-Middle,2016,8378,4849,266.68,16.57,85.17,373,3623,499672366,8298,5154,46.43,5.38,24.6,5.25,17.8,80.76,72.03,68.93
China,South America,Low,2011,28109,8757,472.73,7.85,55.95,2585,124,1162182688,45920,1713,20.93,35.93,13.57,7.39,17.86,79.8,67.06,53.26
Indonesia,South America,Upper-Middle,2022,49722,5410,94.83,4.69,88.22,1113,8954,674844402,53611,3344,38.18,13.79,10.19,5.02,3.01,54.27,81.26,49.36
South Africa,Asia,Lower-Middle,2021,48615,8271,136.41,3.2,92.18,4901,6600,547546574,21248,5974,52.75,26.65,12.93,0.98,9.77,69.41,79.79,67.01
India,North America,Lower-Middle,2021,24570,375,380.8,8.93,62.46,1181,2410,385552674,2216,2047,68.58,14.46,13.79,7.43,19.88,37.06,66.83,40.0
Pakistan,South America,High,2004,41147,3816,389.87,2.48,65.0,1708,6778,1322173575,36904,6072,46.74,6.06,22.64,2.27,3.41,59.07,66.82,83.63
Pakistan,Europe,Low,2010,22496,4161,208.4,36.9,55.68,452,2598,1178281088,44824,3235,57.52,26.74,18.51,1.07,11.7,90.03,81.6,48.92
China,Europe,Lower-Middle,2003,18661,8352,475.98,13.18,65.52,3953,331,1280318229,8370,1581,56.7,24.12,7.64,4.83,7.21,76.24,77.17,64.19
USA,North America,Low,2003,46522,7065,469.74,19.07,80.29,4755,7636,976972880,57013,4266,31.55,24.13,23.76,0.84,8.06,37.28,85.21,88.76
Russia,Asia,Upper-Middle,2002,40648,6906,16.08,41.31,62.25,4614,843,321202575,14182,7434,63.61,14.4,32.57,6.33,17.87,89.33,96.13,74.98
Russia,South America,Lower-Middle,2023,2728,156,94.44,6.62,50.31,4571,8413,759080640,22555,3756,50.75,47.62,25.1,6.44,11.96,77.65,88.2,57.21
India,Asia,Low,2022,26865,2476,411.91,41.94,65.23,2422,9458,1160583746,45633,7309,76.55,5.16,39.11,2.64,15.3,61.71,64.91,80.16
Nigeria,Europe,Lower-Middle,2024,25688,4428,174.26,32.34,70.39,2599,168,399840702,8880,4552,68.34,45.12,8.47,9.65,13.63,78.45,87.2,59.23
Nigeria,South America,Lower-Middle,2016,43082,4414,56.78,17.76,75.49,1849,2629,122551743,6226,8917,27.8,38.16,33.74,8.26,10.82,42.1,72.05,50.92
Brazil,Asia,Low,2006,9388,2581,394.65,6.77,80.77,1513,1357,1046448439,8057,9896,54.21,12.74,22.7,1.18,15.94,68.53,88.11,81.14
Indonesia,Africa,Lower-Middle,2003,23630,6860,232.75,5.48,52.78,732,3174,433718917,32268,5054,69.17,26.25,23.26,7.51,19.43,73.25,93.44,21.9
Bangladesh,North America,Lower-Middle,2022,39659,5366,251.28,17.44,71.14,851,6823,551719924,24666,3594,26.09,49.5,23.17,3.6,19.35,94.94,62.25,48.52
USA,North America,Lower-Middle,2012,42697,5412,101.32,7.88,61.99,2357,920,546002493,35986,3868,75.47,33.97,16.39,7.53,15.89,34.68,61.69,44.01
South Africa,Africa,Lower-Middle,2011,19290,4743,333.84,14.12,92.66,2231,7176,830161198,52057,8137,35.54,10.73,16.36,8.03,10.0,56.23,71.2,69.99
Bangladesh,Europe,Upper-Middle,2000,25324,9040,280.11,3.59,66.2,655,2461,939879069,41155,7132,55.22,25.59,27.11,1.6,3.68,95.58,52.53,20.88
Bangladesh,South America,Lower-Middle,2020,33905,5318,111.27,30.16,54.51,33,413,101367918,29006,3493,85.84,26.07,6.57,6.65,1.37,45.21,83.6,66.26
Pakistan,North America,High,2018,24974,2061,176.76,8.12,51.87,3282,1700,104561802,41271,5759,59.99,41.1,25.61,8.64,5.01,86.92,86.74,44.25
India,Africa,Lower-Middle,2020,17833,475,302.47,38.08,61.94,4836,3495,495901850,24602,1097,49.68,46.23,30.36,3.3,7.14,30.11,66.93,26.85
Russia,Africa,Low,2019,43364,3094,463.19,11.69,58.05,16,9458,784180517,48791,9573,20.48,8.7,17.47,0.9,3.03,31.81,72.8,88.62
Brazil,Europe,High,2017,36855,6279,460.98,40.1,79.24,3711,4298,31611432,9594,2710,29.34,19.13,12.61,0.37,4.88,52.93,78.93,34.86
Nigeria,Europe,Upper-Middle,2010,34379,1289,151.07,10.3,88.11,3242,9844,555174893,41800,7980,60.51,18.43,12.47,1.19,2.13,83.8,53.61,44.44
India,Asia,High,2019,8867,6616,370.45,36.35,64.07,2935,8126,1294162489,19765,7108,54.57,49.82,7.86,0.14,10.71,37.29,84.85,34.49
Pakistan,North America,High,2002,1222,3441,390.0,17.32,76.0,1281,532,677629308,23594,6316,45.47,30.17,8.14,3.34,2.96,56.8,75.81,66.34
South Africa,Asia,High,2016,31645,4263,406.32,29.57,82.86,4271,4455,1299910577,13853,9005,84.63,44.59,10.83,3.06,14.98,39.2,80.59,74.78
Brazil,Africa,Low,2011,38134,4047,289.67,2.89,67.93,4533,6469,885089235,46453,8127,43.27,24.17,5.67,1.19,6.99,45.65,85.47,80.24
Pakistan,South America,Low,2009,10639,3056,15.15,25.27,52.98,2202,7096,378644334,15673,3458,57.6,37.52,14.32,6.55,13.61,65.21,83.1,41.77
Russia,South America,Low,2007,2628,7075,383.22,8.29,60.31,2566,1954,637531893,33911,6351,59.81,17.9,15.72,9.92,17.71,52.34,54.67,56.72
Russia,Europe,Upper-Middle,2014,42386,3089,62.23,24.83,89.74,2964,3581,820550410,49672,7544,56.92,46.03,39.83,9.02,2.18,44.83,88.35,66.43
Russia,South America,Low,2004,21117,6608,67.27,7.93,87.1,1609,1570,1139072257,11764,1734,53.43,25.48,39.71,2.6,19.79,57.54,79.89,64.07
India,South America,Low,2003,28580,8840,306.76,22.42,53.89,1676,4757,93150302,33945,919,43.59,41.17,11.55,7.72,13.08,79.07,85.03,70.12
India,South America,High,2020,35785,1234,491.93,6.42,60.08,4929,7164,819063461,16431,5173,83.61,16.51,12.46,9.37,1.54,38.36,62.81,73.88
Nigeria,Africa,Low,2019,18033,2634,128.84,11.78,84.61,1071,602,648558719,42559,9155,51.56,36.21,22.22,9.07,6.62,63.57,60.85,26.82
Nigeria,South America,Lower-Middle,2018,33124,8152,326.45,30.16,71.87,4671,5337,393227161,3150,5925,56.99,23.23,10.21,8.86,17.78,49.23,90.48,31.78
South Africa,South America,Low,2020,47496,7166,158.79,48.86,84.2,3811,765,902433946,3969,7262,65.95,6.41,22.64,7.89,12.13,56.5,69.13,71.4
Brazil,South America,Upper-Middle,2003,47447,4433,450.38,23.01,59.5,1173,9501,910889785,41154,6777,24.74,23.59,18.98,3.0,6.1,87.51,78.19,53.37
China,Asia,Upper-Middle,2014,28456,3986,300.82,34.67,92.87,3889,506,390774518,53835,9872,74.69,29.75,16.36,0.93,18.84,95.08,77.03,49.89
China,Africa,Lower-Middle,2016,42943,1749,111.66,27.43,85.26,1291,2431,607289197,43524,592,55.88,11.83,33.79,4.93,15.85,47.01,78.67,51.88
Pakistan,Europe,Upper-Middle,2011,33577,4557,138.44,25.42,58.89,2674,1608,674760109,12092,2253,66.0,13.28,33.98,0.64,14.84,74.1,53.41,46.04
Russia,Asia,Upper-Middle,2002,4452,185,221.92,4.17,75.13,2905,4137,1211254615,56738,2985,74.04,25.92,39.58,9.98,17.82,77.37,64.82,61.37
Brazil,North America,High,2009,47139,2075,69.8,8.07,55.09,1218,7026,752224524,57029,801,81.19,20.42,12.81,3.65,15.51,88.97,53.26,42.63
Bangladesh,Africa,Lower-Middle,2014,42960,3585,48.58,44.27,66.26,312,5561,455902872,44331,2161,47.46,24.83,36.09,9.59,6.09,92.93,73.53,64.58
India,Africa,High,2009,23296,4904,343.23,21.1,79.68,765,3600,1176965476,43890,8662,76.8,25.74,23.82,7.75,11.89,62.76,94.2,34.18
Indonesia,North America,High,2023,32246,5417,209.51,31.1,64.86,4269,471,305545192,6184,7326,38.12,11.3,25.7,4.17,16.92,98.78,69.07,73.04
USA,North America,Low,2022,21749,2940,365.85,26.88,79.55,1236,4976,1126410666,52339,9728,66.22,13.15,36.37,1.27,4.03,97.96,88.34,74.71
South Africa,North America,Lower-Middle,2017,515,2807,63.93,19.57,61.02,1243,8569,1266014758,13957,5749,27.19,43.17,37.99,2.45,3.68,65.45,64.08,60.5
Russia,Europe,Low,2000,26457,3823,308.83,20.0,82.45,3527,175,837477175,7096,596,21.4,12.32,30.44,6.76,3.6,67.94,91.96,45.85
Russia,South America,Low,2002,16505,8622,227.22,28.22,66.18,907,1738,319495620,15651,5011,26.7,34.97,17.17,8.32,4.29,76.74,70.56,21.01
Russia,Africa,High,2020,21792,6702,38.42,7.92,85.57,4888,7706,519010970,51068,2607,42.36,23.83,22.14,9.8,2.51,56.17,67.41,28.51
India,South America,Upper-Middle,2011,32376,1578,276.95,19.98,56.15,3320,4707,1062061175,54057,1621,22.18,48.57,26.53,1.41,16.83,76.34,84.18,25.58
India,South America,Lower-Middle,2000,47546,4621,50.57,22.9,66.29,4832,2183,712061217,7574,6634,64.13,7.97,34.0,1.64,16.46,66.0,75.13,20.71
USA,North America,Upper-Middle,2002,15317,5099,415.58,49.27,70.88,3372,47,865581453,33759,8695,42.16,42.37,28.03,0.52,3.45,32.48,66.53,70.56
Bangladesh,Europe,High,2002,25970,898,319.66,18.22,69.07,2429,4453,1376590214,50411,2741,71.55,27.12,17.79,2.68,14.26,89.69,52.85,86.92
Brazil,Asia,High,2004,10259,4177,282.91,32.58,69.49,2919,7496,1303719011,53153,7010,23.21,5.24,19.63,8.23,12.73,95.83,58.17,20.78
Russia,Europe,High,2018,48932,7401,75.4,7.73,70.02,1464,2031,492597340,57844,9999,35.17,16.86,6.77,2.06,5.89,31.84,87.84,27.89
China,South America,High,2024,6912,5916,150.85,4.21,94.5,2337,6890,294692372,51740,4824,48.56,23.35,37.35,5.52,4.93,85.25,95.12,80.25
Nigeria,Europe,High,2000,21004,5919,251.51,43.71,58.69,2373,8935,112809381,53308,109,46.79,19.14,8.08,4.52,5.39,57.01,58.27,68.2
China,North America,High,2003,43464,2171,320.31,36.81,84.59,2022,4531,486949608,54419,9659,29.17,21.31,25.3,3.33,14.75,70.99,77.9,48.33
Pakistan,Asia,Upper-Middle,2003,9007,4731,99.78,16.56,74.83,1110,8849,624264122,33479,6261,89.59,46.25,35.51,6.22,6.73,65.0,51.67,89.5
China,North America,Low,2016,21550,522,14.34,25.72,68.61,825,3312,669272524,46912,1388,39.91,21.24,19.73,5.07,5.92,68.59,64.25,60.15
Pakistan,Asia,Upper-Middle,2013,5320,1837,178.93,7.65,78.51,4256,8521,831636225,41243,8708,70.47,23.85,33.0,3.41,0.94,64.66,71.99,66.87
Indonesia,South America,Lower-Middle,2017,8335,163,246.61,35.65,88.41,1330,4617,467903303,4222,7051,35.4,39.25,33.13,6.92,18.21,89.74,86.06,65.72
Nigeria,Asia,Upper-Middle,2000,28131,9578,100.37,4.45,71.0,4774,6378,659928886,12209,7998,81.45,40.72,7.09,2.87,15.18,77.85,52.16,35.59
China,Asia,High,2021,35117,6523,251.16,38.09,88.92,4512,9924,82032821,43425,2521,47.14,8.78,19.43,6.47,9.72,58.88,88.28,54.17
Indonesia,Asia,Upper-Middle,2015,14087,8580,175.86,27.79,54.22,2344,9958,461416447,17187,8961,83.06,36.68,29.19,9.58,18.89,78.2,59.93,35.15
South Africa,Europe,Low,2002,35221,2335,232.99,14.66,79.39,4597,5883,1196210467,54438,9477,43.93,26.72,19.78,7.32,6.22,97.55,87.22,55.66
Brazil,Europe,Lower-Middle,2022,45999,1246,180.25,43.27,64.99,1042,7508,251188694,37040,8804,20.61,11.02,24.08,4.24,13.66,35.62,80.65,22.15
Indonesia,South America,Upper-Middle,2020,7340,128,317.95,49.32,67.4,1165,7182,475364382,18665,9224,56.19,16.91,25.81,7.5,6.45,57.17,66.64,46.74
Brazil,Asia,Low,2008,38334,4609,31.02,13.46,75.7,1110,5645,61401153,47389,4570,56.74,7.03,10.29,8.11,6.63,90.93,85.46,46.05
China,Africa,Upper-Middle,2022,31940,6067,93.74,40.51,71.6,2795,3857,718765450,36493,8151,28.39,21.21,19.42,3.33,16.97,81.73,61.58,40.41
Bangladesh,South America,Lower-Middle,2003,35683,2702,222.05,37.76,67.18,1006,9139,240979985,29694,1780,36.45,16.49,6.0,7.08,15.85,95.45,60.77,25.55
Indonesia,Asia,Upper-Middle,2020,31136,4368,184.59,37.61,63.87,1445,774,815677163,59916,4389,74.84,22.19,10.24,4.4,6.24,32.79,53.03,73.97
Nigeria,Asia,High,2004,2889,5435,201.9,47.9,77.82,2555,6316,972546356,42267,7929,22.57,31.12,22.93,8.2,2.09,90.39,69.26,49.43
China,Europe,Upper-Middle,2010,49479,9498,403.84,24.84,72.75,3710,662,586459187,56391,8087,54.27,37.96,25.08,3.02,7.47,85.43,54.79,76.98
Russia,South America,Low,2020,1263,7104,444.3,34.03,64.55,4994,7054,826758591,56925,7850,57.13,32.24,10.12,9.38,15.32,87.05,70.56,78.5
India,Asia,Upper-Middle,2008,24425,877,131.85,41.37,59.22,363,3974,1230213532,59620,3097,68.21,35.53,31.45,5.79,2.46,71.81,50.48,34.95
Indonesia,Asia,Low,2002,27049,4973,419.83,24.5,84.85,2328,4621,1030207039,11882,9599,22.62,43.95,18.05,3.6,13.61,33.63,57.6,49.49
Nigeria,South America,Lower-Middle,2005,39523,3435,234.81,24.59,85.99,4537,5769,1174229094,29118,5275,61.0,44.32,37.22,4.25,17.85,67.74,95.69,70.47
South Africa,Africa,Upper-Middle,2023,40441,6106,144.17,16.61,59.62,748,8388,1275998081,21087,1835,20.22,43.73,18.57,3.54,3.99,58.54,88.98,54.96
Russia,South America,Lower-Middle,2010,23957,2015,492.87,39.26,61.77,2529,155,774702096,1853,2012,38.56,11.89,10.24,1.55,17.31,66.89,61.57,79.85
South Africa,South America,Lower-Middle,2008,21923,2477,414.15,34.62,60.76,4613,5111,298590572,8871,7296,54.98,16.3,31.53,0.78,1.5,81.82,85.2,60.01
China,Africa,Upper-Middle,2014,11018,2891,497.18,23.11,89.81,64,4257,842745994,9572,9430,83.79,27.6,24.87,3.29,13.5,71.72,82.76,64.07
India,South America,Low,2022,43520,8855,92.41,21.55,84.84,2094,9588,1228792996,55926,6015,28.86,21.14,18.53,4.64,15.93,50.48,58.67,75.09
Indonesia,Asia,Lower-Middle,2002,32860,8804,80.48,4.56,53.36,909,4198,398820508,51482,2728,31.85,10.93,17.46,3.68,9.17,71.97,68.18,28.56
Indonesia,South America,Lower-Middle,2000,45715,6613,256.66,1.32,87.47,2112,2706,727759030,5198,6155,66.85,17.95,10.28,0.24,4.47,35.82,94.77,60.9
Bangladesh,Africa,Upper-Middle,2019,48357,5890,322.94,26.92,51.66,533,8250,895843879,53654,5357,46.24,48.89,16.93,5.83,18.53,30.38,86.2,25.98
Bangladesh,North America,Upper-Middle,2021,28673,7860,93.82,21.46,61.39,472,3339,626740330,19684,3173,63.64,20.61,6.03,1.53,0.89,58.11,87.26,38.24
China,South America,Upper-Middle,2018,9895,6114,431.61,40.01,91.35,4802,3491,1079814855,7402,3193,89.82,23.85,22.58,2.19,11.32,83.0,77.63,34.88
China,Europe,Upper-Middle,2013,45335,7194,270.69,27.59,88.89,1511,8976,1344543625,21147,2850,89.08,5.29,36.39,1.3,7.77,87.58,82.61,59.7
India,Asia,Upper-Middle,2016,19707,4402,211.36,46.9,85.16,3886,4651,256676120,49874,373,44.76,37.37,32.84,5.25,9.49,68.49,74.93,79.07
Bangladesh,Asia,High,2021,38555,234,305.01,10.61,70.59,725,5569,1297800698,29640,2252,55.27,23.61,6.0,1.04,10.96,90.76,86.3,29.3
Nigeria,Europe,Upper-Middle,2013,46729,5859,321.13,49.52,64.46,3307,1270,1211024091,35505,6252,83.33,9.64,35.84,2.64,10.93,38.81,85.9,73.79
Nigeria,Europe,Low,2016,27139,4115,30.96,15.6,89.67,2789,659,1238688288,52230,7492,26.45,48.59,20.83,4.57,4.47,97.49,51.52,30.01
India,South America,Lower-Middle,2024,46670,7231,499.95,32.48,79.57,3621,3058,1202486886,30721,1844,51.66,39.98,11.68,1.76,13.75,94.52,80.96,33.28
Nigeria,Europe,Low,2013,29424,8487,188.32,25.59,63.3,998,2033,448966489,35046,2392,46.43,37.68,31.33,4.52,0.87,71.95,80.86,84.19
Pakistan,North America,Low,2011,7933,7554,40.16,18.62,70.84,1838,9282,1368841305,17504,3095,40.64,48.1,16.3,3.49,0.91,34.11,53.3,20.68
